,year,date_of_tmax,tx
0,2000,2000-06-18,28.671740513692054
1,2001,2001-06-25,30.682320171860383
2,2002,2002-06-17,30.7050130360929
3,2003,2003-06-22,32.34676218434491
4,2004,2004-06-09,28.23089528450632
5,2005,2005-06-27,31.34393481440234
6,2006,2006-06-13,28.075055080456195
7,2007,2007-06-19,27.973758401310896
8,2008,2008-06-21,27.780580055173967
9,2009,2009-06-30,29.071793306282775
10,2010,2010-06-27,28.00881236987576
11,2011,2011-06-27,32.45823247323509
12,2012,2012-06-28,28.644457118566017
13,2013,2013-06-17,26.00983720712161
14,2014,2014-06-08,28.21237720285297
15,2015,2015-06-30,32.493224838937586
16,2016,2016-06-23,29.12317041530603
17,2017,2017-06-21,32.10713362973765
18,2018,2018-06-30,30.02659378767047
19,2019,2019-06-27,34.17354209789183
20,2020,2020-06-24,30.08162320959207
21,2021,2021-06-16,29.7062040009149
22,2022,2022-06-18,34.55720399559853
23,2023,2023-06-25,30.018604701607835
24,2024,2024-06-26,28.50590776607202
25,2025,2025-06-30,34.228189632425746
26,2026,2026-06-24,36.91214273727554
